query,intent,product_fit,target_page,decision,reason,source,google_metrics_status
365 days photo app,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 2; pilot-v2/keywords_enriched_v2.csv row 2,not_collected_no_paid_checks
365 photo challenge,habit_challenge,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 3; pilot-v2/keywords_enriched_v2.csv row 3,not_collected_no_paid_checks
a,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 4.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 4; pilot-v2/keywords_enriched_v2.csv row 4,not_collected_no_paid_checks
acne,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 5.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 5; pilot-v2/keywords_enriched_v2.csv row 5,not_collected_no_paid_checks
acne before and after,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 6.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 6; pilot-v2/keywords_enriched_v2.csv row 6,not_collected_no_paid_checks
acne photo tracker,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 7.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 7; pilot-v2/keywords_enriched_v2.csv row 7,not_collected_no_paid_checks
acne progress tracker,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 8.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 8; pilot-v2/keywords_enriched_v2.csv row 8,not_collected_no_paid_checks
age,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 9.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 9; pilot-v2/keywords_enriched_v2.csv row 9,not_collected_no_paid_checks
ai,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 10.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 10; pilot-v2/keywords_enriched_v2.csv row 10,not_collected_no_paid_checks
ai progress,progress_timeline,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 11.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 11; pilot-v2/keywords_enriched_v2.csv row 11,not_collected_no_paid_checks
ai scanner,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 12.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 12; pilot-v2/keywords_enriched_v2.csv row 12,not_collected_no_paid_checks
ai score,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 13.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 13; pilot-v2/keywords_enriched_v2.csv row 13,not_collected_no_paid_checks
app,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 14.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 14; pilot-v2/keywords_enriched_v2.csv row 14,not_collected_no_paid_checks
